Symbol,Company name
AURIONPRO,Aurionpro Solutions Limited
AUROPHARMA,Aurobindo Pharma Limited
AUSOMENT,Ausom Enterprise Limited
AUTOIND,Autoline Industries Limited
AUTOLITIND,Autolite (India) Limited
AUTOAXLES,Automotive Axles Limited
ASAL,Automotive Stampings and Assemblies Limited
AVADHSUGAR,Avadh Sugar & Energy Limited
AVANTIFEED,Avanti Feeds Limited
AVENTUS,Aventus Buildcon Limited
DMART,Avenue Supermarts Limited
AVG,AVG Logistics Limited
AVROIND,Avro India Limited
AVSL,AVSL Industries Limited
AVTNPL,AVT Natural Products Limited
AXISBANK,Axis Bank Limited
AXISCADES,AXISCADES Engineering Technologies Limited
AYMSYNTEX,AYM Syntex Limited
BBTCL,B&B Triplewall Containers Limited
BLKASHYAP,B. L. Kashyap and Sons Limited
BAGFILMS,B.A.G Films and Media Limited
BABAFOOD,Baba Agro Food Limited
BAFNAPH,Bafna Pharmaceuticals Limited
BAJAJ-AUTO,Bajaj Auto Limited
BAJAJCON,Bajaj Consumer Care Limited
BAJAJELEC,Bajaj Electricals Limited
BAJFINANCE,Bajaj Finance Limited
BAJAJFINSV,Bajaj Finserv Limited
BAJAJHIND,Bajaj Hindusthan Sugar Limited
BAJAJHLDNG,Bajaj Holdings & Investment Limited
BALPHARMA,Bal Pharma Limited
BALAMINES,Balaji Amines Limited
BALAJITELE,Balaji Telefilms Limited
BALAXI,Balaxi Ventures Limited
BALKRISIND,Balkrishna Industries Limited
BALKRISHNA,Balkrishna Paper Mills Limited
BALLARPUR,Ballarpur Industries Limited
BALMLAWRIE,Balmer Lawrie & Company Limited
BALRAMCHIN,Balrampur Chini Mills Limited
BANARBEADS,Banaras Beads Limited
BANCOINDIA,Banco Products (I) Limited
BANDHANBNK,Bandhan Bank Limited
BANG,Bang Overseas Limited
BANKBARODA,Bank of Baroda
BANKINDIA,Bank of India
MAHABANK,Bank of Maharashtra
BANKA,Banka BioLoo Limited
BASML,Bannari Amman Spinning Mills Limited
BANARISUG,Bannari Amman Sugars Limited
BANSWRAS,Banswara Syntex Limited
BVCL,Barak Valley Cements Limited
BARTRONICS,Bartronics India Limited
BASF,BASF India Limited
BATAINDIA,Bata India Limited
BDR,BDR Buildcon Limited
BEARDSELL,Beardsell Limited
BEDMUTHA,Bedmutha Industries Limited
BEML,BEML Limited
BERGEPAINT,Berger Paints (I) Limited
BETA,Beta Drugs Limited
BFINVEST,BF Investment Limited
BFUTILITIE,BF Utilities Limited
BGRENERGY,BGR Energy Systems Limited
BHAGERIA,Bhageria Industries Limited
BHAGYANGR,Bhagyanagar India Limited
BHAGYAPROP,Bhagyanagar Properties Limited
BHALCHANDR,Bhalchandram Clothing Limited
BHANDARI,Bhandari Hosiery Exports Limited
BEPL,Bhansali Engineering Polymers Limited
BBL,Bharat Bijlee Limited
BDL,Bharat Dynamics Limited
BEL,Bharat Electronics Limited
BHARATFORG,Bharat Forge Limited
BHARATGEAR,Bharat Gears Limited
BHEL,Bharat Heavy Electricals Limited
BPCL,Bharat Petroleum Corporation Limited
BHARATRAS,Bharat Rasayan Limited
BRNL,Bharat Road Network Limited
BHARATWIRE,Bharat Wire Ropes Limited
BHARTIARTL,Bharti Airtel Limited
INFRATEL,Bharti Infratel Limited
BIL,Bhartiya International Limited
BIGBLOC,Bigbloc Construction Limited
BILENERGY,Bil Energy Systems Limited
BIOCON,Biocon Limited
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited
BIRLACABLE,Birla Cable Limited
BIRLACORPN,Birla Corporation Limited
BIRLATYRE,Birla Tyres Limited
BSOFT,Birlasoft Limited
BKMINDST,Bkm Industries Limited
BLBLIMITED,BLB Limited
BLISSGVS,Bliss GVS Pharma Limited
BLS,BLS International Services Limited
BLUECHIP,Blue Chip India Limited
BLUECOAST,Blue Coast Hotels Limited
BLUEDART,Blue Dart Express Limited
BLUESTARCO,Blue Star Limited
BODALCHEM,Bodal Chemicals Limited
BOHRA,Bohra Industries Limited
BBTC,Bombay Burmah Trading Corporation Limited
BOMDYEING,Bombay Dyeing & Mfg Company Limited
BRFL,Bombay Rayon Fashions Limited
BSHSL,Bombay Super Hybrid Seeds Limited
BORORENEW,Borosil Renewables Limited
BOSCHLTD,Bosch Limited
BPL,BPL Limited
BCONCEPTS,Brand Concepts Limited
BRIGADE,Brigade Enterprises Limited
BRIGHT,Bright Solar Limited
BCG,Brightcom Group Limited
BRITANNIA,Britannia Industries Limited
BROOKS,Brooks Laboratories Limited
BSE,BSE Limited
BSELINFRA,BSEL Infrastructure Realty Limited
BSL,BSL Limited
BURNPUR,Burnpur Cement Limited
BUTTERFLY,Butterfly Gandhimathi Appliances Limited
CANDC,C & C Constructions Limited
CADILAHC,Cadila Healthcare Limited
CADSYS,Cadsys (India) Limited
CALSOFT,California Software Company Limited
CTE,Cambridge Technology Enterprises Limited
CAMLINFINE,Camlin Fine Sciences Limited
CANFINHOME,Can Fin Homes Limited
CANBK,Canara Bank
CANTABIL,Cantabil Retail India Limited
CAPACITE,Capacit'e Infraprojects Limited
CAPTRUST,Capital Trust Limited
CAPLIPOINT,Caplin Point Laboratories Limited
CGCL,Capri Global Capital Limited
CARBORUNIV,Carborundum Universal Limited
CARERATING,CARE Ratings Limited
CAREERP,Career Point Limited
CASTEXTECH,Castex Technologies Limited
CASTROLIND,Castrol India Limited
CCL,CCL Products (India) Limited
CEATLTD,CEAT Limited
CELEBRITY,Celebrity Fashions Limited
CENTRALBK,Central Bank of India
CDSL,Central Depository Services (India) Limited
CENTRUM,Centrum Capital Limited
CENTUM,Centum Electronics Limited
CENTENKA,Century Enka Limited
CENTEXT,Century Extrusions Limited
CENTURYPLY,Century Plyboards (India) Limited
CENTURYTEX,Century Textiles & Industries Limited
CERA,Cera Sanitaryware Limited
CEREBRAINT,Cerebra Integrated Technologies Limited
CESC,CESC Limited
CESCVENT,CESC Ventures Limited
CGPOWER,CG Power and Industrial Solutions Limited
CHALET,Chalet Hotels Limited
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited
CHEMBOND,Chembond Chemicals Ltd
CHEMCON,Chemcon Speciality Chemicals Limited
CHEMFAB,Chemfab Alkalis Limited
CHENNPETRO,Chennai Petroleum Corporation Limited
CHOLAHLDNG,Cholamandalam Financial Holdings Limited
CHOLAFIN,Cholamandalam Investment and Finance Company Limited
CHROMATIC,Chromatic India Limited
CIGNITITEC,Cigniti Technologies Limited
CNOVAPETRO,CIL Nova Petrochemicals Limited
CIMMCO,Cimmco Limited
CINELINE,Cineline India Limited
CINEVISTA,Cinevista Limited
CIPLA,Cipla Limited
CUB,City Union Bank Limited
CKPLEISURE,CKP Leisure Limited
CKPPRODUCT,CKP Products Limited
CLEDUCATE,CL Educate Limited
CLNINDIA,Clariant Chemicals (India) Limited
CMICABLES,CMI Limited
CMMIPL,CMM Infraprojects Limited
COALINDIA,Coal India Limited
COCHINSHIP,Cochin Shipyard Limited
COFORGE,Coforge Limited
COLPAL,Colgate Palmolive (India) Limited
CEBBCO,Commercial Engineers & Body Builders Co Limited
COMPINFO,Compuage Infocom Limited
COMPUSOFT,Compucom Software Limited
CAMS,Computer Age Management Services Limited
CONFIPET,Confidence Petroleum India Limited
CCCL,Consolidated Construction Consortium Limited
CONSOFINVT,Consolidated Finvest & Holdings Limited
CONCOR,Container Corporation of India Limited
CONTI,Continental Seeds and Chemicals Limited
CONTROLPR,Control Print Limited
CORALFINAC,Coral India Finance & Housing Limited
CORDSCABLE,Cords Cable Industries Limited
COROMANDEL,Coromandel International Limited
COSMOFILMS,Cosmo Films Limited
CCHHL,Country Club Hospitality & Holidays Limited
COUNCODOS,Country Condo's Limited
CKFSL,Cox & Kings Financial Service Limited
COX&KINGS,Cox & Kings Limited
CREATIVEYE,Creative Eye Limited
CREATIVE,Creative Peripherals and Distribution Limited
CREDITACC,CreditAccess Grameen Limited
CREST,Crest Ventures Limited
CRISIL,CRISIL Limited
CROMPTON,Crompton Greaves Consumer Electricals Limited
CROWN,Crown Lifters Limited
CSBBANK,CSB Bank Limited
CUBEXTUB,Cubex Tubings Limited
CUMMINSIND,Cummins India Limited
CUPID,Cupid Limited
CYBERTECH,Cybertech Systems And Software Limited
CYIENT,Cyient Limited
DBREALTY,D B Realty Limited
DPWIRES,D P Wires Limited
DPABHUSHAN,D. P. Abhushan Limited
DBCORP,D.B.Corp Limited
DABUR,Dabur India Limited
DALBHARAT,Dalmia Bharat Limited
DALMIASUG,Dalmia Bharat Sugar and Industries Limited
DAMODARIND,Damodar Industries Limited
DANGEE,Dangee Dums Limited
DATAMATICS,Datamatics Global Services Limited
DBSTOCKBRO,DB (International) Stock Brokers Limited
DCI,DC Infotech and Communication Limited
DCBBANK,DCB Bank Limited
DCM,DCM Limited
DCMFINSERV,DCM Financial Services Limited
DCMNVL,DCM Nouvelle Limited
DCMSHRIRAM,DCM Shriram Limited
DCW,DCW Limited
DENORA,De Nora India Limited
DSML,Debock Sales And Marketing Limited
DECCANCE,Deccan Cements Limited
DEEPIND,Deep Industries Limited
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited
DEEPAKNTR,Deepak Nitrite Limited
DELTACORP,Delta Corp Limited
DELTAMAGNT,Delta Manufacturing Limited
DEN,Den Networks Limited
DEVIT,Dev Information Technology Limited
DHFL,Dewan Housing Finance Corporation Limited
DFMFOODS,DFM Foods Limited
DHAMPURSUG,Dhampur Sugar Mills Limited
DHANBANK,Dhanlaxmi Bank Limited
DHANUKA,Dhanuka Agritech Limited
DRL,Dhanuka Realty Limited
DHARSUGAR,Dharani Sugars & Chemicals Limited
DHUNINV,Dhunseri Investments Limited
DTIL,Dhunseri Tea & Industries Limited
DVL,Dhunseri Ventures Limited
DIAPOWER,Diamond Power Infra Ltd
DICIND,DIC India Limited
DGCONTENT,Digicontent Limited
DIGISPICE,DiGiSPICE Technologies Limited
DIGJAMLTD,Digjam Limited
DNAMEDIA,Diligent Media Corporation Limited
DBL,Dilip Buildcon Limited
DISHTV,Dish TV India Limited
DCAL,Dishman Carbogen Amcis Limited
DIVISLAB,Divi's Laboratories Limited
DIXON,Dixon Technologies (India) Limited
DLF,DLF Limited
DLINKINDIA,D-Link (India) Limited
DOLLAR,Dollar Industries Limited
DONEAR,Donear Industries Limited
DPSCLTD,DPSC Limited
DQE,DQ Entertainment (International) Limited
LALPATHLAB,Dr. Lal Path Labs Ltd.
DRREDDY,Dr. Reddy's Laboratories Limited
DREDGECORP,Dredging Corporation of India Limited
DRSDILIP,DRS Dilip Roadlines Limited
DUCON,Ducon Infratechnologies Limited
DWARKESH,Dwarikesh Sugar Industries Limited
DSSL,Dynacons Systems & Solutions Limited
DYNAMATECH,Dynamatic Technologies Limited
DYNPRO,Dynemic Products Limited
E2E,E2E Networks Limited
EASTSILK,Eastern Silk Industries Limited
EASUNREYRL,Easun Reyrolle Limited
EBIXFOREX,EbixCash World Money Limited
ECLERX,eClerx Services Limited
EDELWEISS,Edelweiss Financial Services Limited
EDUCOMP,Educomp Solutions Limited
EICHERMOT,Eicher Motors Limited
EIDPARRY,EID Parry India Limited
EIHAHOTELS,EIH Associated Hotels Limited
EIHOTEL,EIH Limited
EIMCOELECO,Eimco Elecon (India) Limited
ELECON,Elecon Engineering Company Limited
ELECTCAST,Electrosteel Castings Limited
ELECTHERM,Electrotherm (India) Limited
ELGIEQUIP,Elgi Equipments Limited
ELGIRUBCO,Elgi Rubber Company Limited
EMAMILTD,Emami Limited
EMAMIPAP,Emami Paper Mills Limited
EMAMIREAL,Emami Realty Limited
EMCO,Emco Limited
EMKAY,Emkay Global Financial Services Limited
EMKAYTOOLS,Emkay Taps and Cutting Tools Limited
EMIL,Electronics Mart India Limited
EMMBI,Emmbi Industries Limited
EDL,Empee Distilleries Limited
ENDURANCE,Endurance Technologies Limited
ENERGYDEV,Energy Development Company Limited
ENGINERSIN,Engineers India Limited
ENIL,Entertainment Network (India) Limited
EON,Eon Electric Limited
EQUITAS,Equitas Holdings Limited
EQUITASBNK,Equitas Small Finance Bank Limited
ERIS,Eris Lifesciences Limited
EROSMEDIA,Eros International Media Limited
ESABINDIA,Esab India Limited
ESCORTS,Escorts Limited
ESSARSHPNG,Essar Shipping Limited
ESSELPACK,Essel Propack Limited
ESTER,Ester Industries Limited
EUROCERA,Euro Ceramics Limited
EIFFL,Euro India Fresh Foods Limited
EUROMULTI,Euro Multivision Limited
EUROTEXIND,Eurotex Industries and Exports Limited
EVEREADY,Eveready Industries India Limited
EVERESTIND,Everest Industries Limited
EKC,Everest Kanto Cylinder Limited
EXCELINDUS,Excel Industries Limited
EXCEL,Excel Realty N Infra Limited
EXIDEIND,Exide Industries Limited
EXPLEOSOL,Expleo Solutions Limited
FAIRCHEM,Fairchem Speciality Limited
FCSSOFT,FCS Software Solutions Limited
FDC,FDC Limited
FMGOETZE,Federal-Mogul Goetze (India) Limited
FELIX,Felix Industries Limited
FACT,Fertilizers and Chemicals Travancore Limited
FIEMIND,Fiem Industries Limited
FILATEX,Filatex India Limited
FINEORG,Fine Organic Industries Limited
FCL,Fineotex Chemical Limited
FINCABLES,Finolex Cables Limited
FINPIPE,Finolex Industries Limited
FSL,Firstsource Solutions Limited
FLEXITUFF,Flexituff Ventures International Limited
FOCUS,Focus Lighting and Fixtures Limited
FORTIS,Fortis Healthcare Limited
FOSECOIND,Foseco India Limited
FOURTHDIM,Fourth Dimension Solutions Limited
FCONSUMER,Future Consumer Limited
FEL,Future Enterprises Limited
FLFL,Future Lifestyle Fashions Limited
FMNL,Future Market Networks Limited
FRETAIL,Future Retail Limited
FSC,Future Supply Chain Solutions Limited
GABRIEL,Gabriel India Limited
GAIL,GAIL (India) Limited
GALAXYSURF,Galaxy Surfactants Limited
GALLISPAT,Gallantt Ispat Limited
GALLANTT,Gallantt Metal Limited
GAMMNINFRA,Gammon Infrastructure Projects Limited
GANDHITUBE,Gandhi Special Tubes Limited
GANESHHOUC,Ganesh Housing Corporation Limited
GANECOS,Ganesha Ecosphere Limited
GANGAFORGE,Ganga Forging Limited
GANGESSECU,Ganges Securities Limited
GRSE,Garden Reach Shipbuilders & Engineers Limited
GARDENSILK,Garden Silk Mills Limited
GARFIBRES,Garware Technical Fibres Limited
GDL,Gateway Distriparks Limited
GATI,GATI Limited
GAYAHWS,Gayatri Highways Limited
GAYAPROJ,Gayatri Projects Limited
GBGLOBAL,GB Global Limited
GEPIL,GE Power India Limited
GET&D,GE T&D India Limited
GEECEE,GeeCee Ventures Limited
GEEKAYWIRE,Geekay Wires Limited
GICRE,General Insurance Corporation of India
GENESYS,Genesys International Corporation Limited
GENUSPAPER,Genus Paper & Boards Limited
GENUSPOWER,Genus Power Infrastructures Limited
GEOJITFSL,Geojit Financial Services Limited
GFLLIMITED,GFL Limited
GHCL,GHCL Limited
GISOLUTION,GI Engineering Solutions Limited
GICHSGFIN,GIC Housing Finance Limited
GILLANDERS,Gillanders Arbuthnot & Company Limited
GILLETTE,Gillette India Limited
GINNIFILA,Ginni Filaments Limited
GIRRESORTS,GIR Natureview Resorts Limited
GKWLIMITED,GKW Limited
GLAND,Gland Pharma Limited
GSKCONS,GlaxoSmithKline Consumer Healthcare Limited
GLAXO,GlaxoSmithKline Pharmaceuticals Limited
GLENMARK,Glenmark Pharmaceuticals Limited
GLOBAL,Global Education Limited
GLOBOFFS,Global Offshore Services Limited
GLOBALVECT,Global Vectra Helicorp Limited
GICL,Globe International Carriers Limited
GLOBE,Globe Textiles (India) Limited
GLOBUSSPR,Globus Spirits Limited
GMBREW,GM Breweries Limited
GMMPFAUDLR,GMM Pfaudler Limited
GMRINFRA,GMR Infrastructure Limited
GNA,GNA Axles Limited
GOACARBON,Goa Carbon Limited
GOCLCORP,GOCL Corporation Limited
GPIL,Godawari Power And Ispat limited
GODFRYPHLP,Godfrey Phillips India Limited
GODHA,Godha Cabcon & Insulation Limited
GODREJAGRO,Godrej Agrovet Limited
GODREJCP,Godrej Consumer Products Limited
GODREJIND,Godrej Industries Limited
GODREJPROP,Godrej Properties Limited
GOENKA,Goenka Diamond and Jewels Limited
GOKEX,Gokaldas Exports Limited
GOKULAGRO,Gokul Agro Resources Limited
GOKUL,Gokul Refoils and Solvent Limited
GOLDENTOBC,Golden Tobacco Limited
GOLDIAM,Goldiam International Limited
GOLDSTAR,Goldstar Power Limited
GOLDTECH,Goldstone Technologies Limited
GOODLUCK,Goodluck India Limited
GULFPETRO,GP Petroleums Limited
GPTINFRA,GPT Infraprojects Limited
GFSTEELS,Grand Foundry Limited
GRANULES,Granules India Limited
GRAPHITE,Graphite India Limited
GRASIM,Grasim Industries Limited
GRAVITA,Gravita India Limited
GREAVESCOT,Greaves Cotton Limited
GREENLAM,Greenlam Industries Limited
GREENPANEL,Greenpanel Industries Limited
GREENPLY,Greenply Industries Limited
GRETEX,Gretex Industries Limited
GRINDWELL,Grindwell Norton Limited
GRPLTD,GRP Limited
GSS,GSS Infotech Limited
GTLINFRA,GTL Infrastructure Limited
GTL,GTL Limited
GTNIND,GTN Industries Limited
GTNTEX,GTN Textiles Limited
GTPL,GTPL Hathway Limited
GUFICBIO,Gufic Biosciences Limited
GUJALKALI,Gujarat Alkalies and Chemicals Limited
GAEL,Gujarat Ambuja Exports Limited
GUJAPOLLO,Gujarat Apollo Industries Limited
FLUOROCHEM,Gujarat Fluorochemicals Limited
GUJGASLTD,Gujarat Gas Limited
GIPCL,Gujarat Industries Power Company Limited
GLFL,Gujarat Lease Financing Limited
GMDCLTD,Gujarat Mineral Development Corporation Limited
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited
GPPL,Gujarat Pipavav Port Limited
GUJRAFFIA,Gujarat Raffia Industries Limited
GSCLCEMENT,Gujarat Sidhee Cement Limited
GSFC,Gujarat State Fertilizers & Chemicals Limited
GSPL,Gujarat State Petronet Limited
GULFOILLUB,Gulf Oil Lubricants India Limited
GULPOLY,Gulshan Polyols Limited
GVKPIL,GVK Power & Infrastructure Limited
GAL,Gyscoal Alloys Limited
HGINFRA,H.G. Infra Engineering Limited
HAPPSTMNDS,Happiest Minds Technologies Limited
HARITASEAT,Harita Seating Systems Limited
HARRMALAYA,Harrisons Malayalam Limited
HATHWAY,Hathway Cable & Datacom Limited
HATSUN,Hatsun Agro Product Limited
HAVELLS,Havells India Limited
HBSL,HB Stockholdings Limited
HBLPOWER,HBL Power Systems Limited
HCL-INSYS,HCL Infosystems Limited
HCLTECH,HCL Technologies Limited
HDFCAMC,HDFC Asset Management Company Limited
HDFCBANK,HDFC Bank Limited
HDFCLIFE,HDFC Life Insurance Company Limited
HCG,Healthcare Global Enterprises Limited
HECPROJECT,HEC Infra Projects Limited
HEG,HEG Limited
HEIDELBERG,HeidelbergCement India Limited
HERCULES,Hercules Hoists Limited
HERITGFOOD,Heritage Foods Limited
HEROMOTOCO,Hero MotoCorp Limited
HESTERBIO,Hester Biosciences Limited
HEXATRADEX,Hexa Tradex Limited
HEXAWARE,Hexaware Technologies Limited
HFCL,HFCL Limited
HIKAL,Hikal Limited
HIL,HIL Limited
HILTON,Hilton Metal Forging Limited
HSCL,Himadri Speciality Chemical Limited
HIMATSEIDE,Himatsingka Seide Limited
HIRECT,Hind Rectifiers Limited
HINDALCO,Hindalco Industries Limited
HINDCON,Hindcon Chemicals Limited
HPIL,Hindprakash Industries Limited
HGS,Hinduja Global Solutions Limited
HAL,Hindustan Aeronautics Limited
HINDCOMPOS,Hindustan Composites Limited
HCC,Hindustan Construction Company Limited
HINDCOPPER,Hindustan Copper Limited
HMVL,Hindustan Media Ventures Limited
HINDMOTORS,Hindustan Motors Limited
HINDOILEXP,Hindustan Oil Exploration Company Limited
HINDPETRO,Hindustan Petroleum Corporation Limited
HINDUNILVR,Hindustan Unilever Limited
HINDZINC,Hindustan Zinc Limited
HINDNATGLS,Hindustan National Glass & Industries Limited
HISARMETAL,Hisar Metal Industries Limited
HITECHCORP,Hitech Corporation Limited
HITECH,Hi-Tech Pipes Limited
HLVLTD,HLV Limited
HMT,HMT Limited
HONDAPOWER,Honda Siel Power Products Limited
HONAUT,Honeywell Automation India Limited
HOTELRUGBY,Hotel Rugby Limited
HUDCO,Housing & Urban Development Corporation Limited
HDIL,Housing Development and Infrastructure Limited
HDFC,Housing Development Finance Corporation Limited
HOVS,HOV Services Limited
HPL,HPL Electric & Power Limited
HSIL,HSIL Limited
HTMEDIA,HT Media Limited
HUBTOWN,Hubtown Limited
PAPERPROD,Huhtamaki PPL Limited
HUSYSLTD,Husys Consulting Limited
ICEMAKE,Ice Make Refrigeration Limited
ICICIBANK,ICICI Bank Limited
ICICIGI,ICICI Lombard General Insurance Company Limited
ICICIPRULI,ICICI Prudential Life Insurance Company Limited
ISEC,ICICI Securities Limited
ICRA,ICRA Limited
IDBI,IDBI Bank Limited
IDFCFIRSTB,IDFC First Bank Limited
IDFC,IDFC Limited
IFBAGRO,IFB Agro Industries Limited
IFBIND,IFB Industries Limited
IFCI,IFCI Limited
IFGLEXPOR,IFGL Refractories Limited
IGPL,IG Petrochemicals Limited
IGARASHI,Igarashi Motors India Limited
IIFL,IIFL Finance Limited
IIFLSEC,IIFL Securities Limited
IIFLWAM,IIFL Wealth Management Limited
IL&FSENGG,IL&FS Engineering and Construction Company Limited
IVC,IL&FS Investment Managers Limited
IL&FSTRANS,IL&FS Transportation Networks Limited
INDLMETER,IMP Powers Limited
IMPEXFERRO,Impex Ferro Tech Limited
INDBANK,Indbank Merchant Banking Services Limited
